Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2024 Actuals,FY 2025 Enacted,FY 2025 Supplemental,FY 2025 Total,FY 2026 Disc Request,FY 2026 Reconciliation Request,FY 2026 Total
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,4,0602123N,Force Protection Applied Research,Y,"280,078","191,716",,"191,716","125,699",,"125,699"
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,5,0602131M,Marine Corps Landing Force Technology,Y,"66,603","58,508",,"58,508","45,697",,"45,697"
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,6,0602235N,Common Picture Applied Research,Y,"50,947","51,202",,"51,202","55,246",,"55,246"
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,7,0602236N,Warfighter Sustainment Applied Research,Y,"166,959","86,379",,"86,379","74,264",,"74,264"
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,8,0602271N,Electromagnetic Systems Applied Research,Y,"106,177","102,441",,"102,441","79,929",,"79,929"
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,9,0602435N,Ocean Warfighting Environment Applied Research,Y,"131,068","113,430",,"113,430","81,270",,"81,270"
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,10,0602651M,Joint Non-Lethal Weapons Applied Research,Y,"7,352","7,719",,"7,719","7,300",,"7,300"
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,11,0602747N,Undersea Warfare Applied Research,Y,"98,285","88,525",,"88,525","64,335",,"64,335"
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,12,0602750N,Future Naval Capabilities Applied Research,Y,"178,824","163,673",,"163,673","279,815",,"279,815"
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,13,0602782N,Mine and Expeditionary Warfare Applied Research,Y,"30,011","32,460",,"32,460","29,081",,"29,081"
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,14,0602792N,Innovative Naval Prototypes (INP) Applied Research,Y,"150,171","145,863",,"145,863",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied Research,15,0602861N,Science and Technology Management - ONR Field Acitivities,Y,"84,907","90,939",,"90,939","81,423",,"81,423"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,16,0603123N,Force Protection Advanced Technology,Y,"75,136","52,657",,"52,657","43,527","2,000","45,527"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,17,0603271N,Electromagnetic Systems Advanced Technology,Y,"12,992","8,537",,"8,537","8,644",,"8,644"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,18,0603273N,Science & Technology for Nuclear Re-entry Systems,Y,"109,226","118,624",,"118,624","121,618",,"121,618"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,19,0603640M,USMC Advanced Technology Demonstration (ATD),Y,"455,288","296,147",,"296,147","309,711","37,413","347,124"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,20,0603651M,Joint Non-Lethal Weapons Technology Development,Y,"15,323","16,188",,"16,188","6,561",,"6,561"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,21,0603673N,Future Naval Capabilities Advanced Technology Development,Y,"280,682","257,768",,"257,768","455,851",,"455,851"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,22,0603680N,Manufacturing Technology Program,Y,"81,226","63,084",,"63,084","63,903",,"63,903"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,23,0603729N,Warfighter Protection Advanced Technology,Y,"35,356","7,605",,"7,605","7,653",,"7,653"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,24,0603758N,Navy Warfighting Experiments and Demonstrations,Y,"103,722","139,915",,"139,915","81,923",,"81,923"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,25,0603782N,Mine and Expeditionary Warfare Advanced Technology,Y,"1,987","2,050",,"2,050","2,075",,"2,075"
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced Technology Development,26,0603801N,Innovative Naval Prototypes (INP) Advanced Technology Development,Y,"148,737","140,988",,"140,988",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,27,0603128N,Unmanned Aerial System,Y,"98,807","78,175",,"78,175","28,388",,"28,388"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,28,0603178N,Large Unmanned Surface Vehicles (LUSV),Y,"98,759","46,964",,"46,964",,"57,860","57,860"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,29,0603207N,Air/Ocean Tactical Applications,Y,"42,257","50,765",,"50,765","35,870",,"35,870"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,30,0603216N,Aviation Survivability,Y,"20,490","23,115",,"23,115","24,064",,"24,064"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,31,0603239N,Naval Construction Forces,Y,"7,769","7,866",,"7,866","8,603",,"8,603"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,32,0603254N,ASW Systems Development,Y,"16,691","20,033",,"20,033","18,904",,"18,904"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,33,0603261N,Tactical Airborne Reconnaissance,Y,"3,721","3,358",,"3,358","2,241",,"2,241"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,34,0603382N,Advanced Combat Systems Technology,Y,"27,142","7,051",,"7,051","2,083",,"2,083"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,35,0603502N,Surface and Shallow Water Mine Countermeasures,Y,"33,635","29,421",,"29,421","32,359",,"32,359"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,36,0603506N,Surface Ship Torpedo Defense,Y,728,"4,790",,"4,790","11,832",,"11,832"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,37,0603512N,Carrier Systems Development,Y,"10,244","5,659",,"5,659","8,361",,"8,361"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,38,0603525N,PILOT FISH,Y,"877,003","982,324",,"982,324","1,218,486",,"1,218,486"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,39,0603527N,RETRACT LARCH,Y,"7,459",,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,40,0603536N,RETRACT JUNIPER,Y,"200,890","199,172",,"199,172","206,429",,"206,429"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,41,0603542N,Radiological Control,Y,808,801,,801,730,,730
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,42,0603553N,Surface ASW,Y,"1,142","1,194",,"1,194",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,43,0603561N,Advanced Submarine System Development,Y,"93,255","106,694",,"106,694","162,651",,"162,651"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,44,0603562N,Submarine Tactical Warfare Systems,Y,"14,859","14,924",,"14,924",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,45,0603563N,Ship Concept Advanced Design,Y,"207,361","105,811",,"105,811","59,218","21,200","80,418"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,46,0603564N,Ship Preliminary Design & Feasibility Studies,Y,"161,639","52,586",,"52,586","96,022",,"96,022"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,47,0603570N,Advanced Nuclear Power Systems,Y,"292,656","318,002",,"318,002","383,831",,"383,831"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,48,0603573N,Advanced Surface Machinery Systems,Y,"156,380","98,942",,"98,942","101,136",,"101,136"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,49,0603576N,CHALK EAGLE,Y,"111,639","137,372",,"137,372","156,686",,"156,686"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,50,0603581N,Littoral Combat Ship (LCS),Y,"20,839","9,132",,"9,132","10,203",,"10,203"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,51,0603582N,Combat System Integration,Y,"18,482","20,135",,"20,135","19,643",,"19,643"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,52,0603595N,Ohio Replacement,Y,"274,320","192,631",,"192,631","273,265",,"273,265"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,53,0603596N,LCS Mission Modules,Y,"31,192","28,801",,"28,801","39,258",,"39,258"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,54,0603597N,Automated Test and Re-Test (ATRT),Y,"25,202","25,805",,"25,805","9,862",,"9,862"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,55,0603598N,ATRT Enterprise Rapid Capability,Y,"86,813","53,343",,"53,343","20,000",,"20,000"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,56,0603599N,Frigate Development,Y,"97,581","105,482",,"105,482","84,199",,"84,199"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,57,0603609N,Conventional Munitions,Y,"9,001","8,950",,"8,950","10,877",,"10,877"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,58,0603635M,Marine Corps Ground Combat/Support System,Y,"118,753","94,013",,"94,013","278,261",,"278,261"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,59,0603654N,Joint Service Explosive Ordnance Development,Y,"43,829","47,339",,"47,339","43,657",,"43,657"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,60,0603713N,Ocean Engineering Technology Development,Y,"10,612","15,587",,"15,587","9,647",,"9,647"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,61,0603721N,Environmental Protection,Y,"24,167","23,258",,"23,258","22,829",,"22,829"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,62,0603724N,Navy Energy Program,Y,"108,223","65,610",,"65,610","46,577",,"46,577"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,63,0603725N,Facilities Improvement,Y,"11,948","9,067",,"9,067","10,925",,"10,925"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,64,0603734N,CHALK CORAL,Y,"573,548","873,119",,"873,119","414,282",,"414,282"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,65,0603739N,Navy Logistic Productivity,Y,"4,531","6,059",,"6,059","1,016",,"1,016"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,66,0603746N,RETRACT MAPLE,Y,"369,255","611,458",,"611,458","647,914",,"647,914"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,67,0603748N,LINK PLUMERIA,Y,"1,923,758","346,553",,"346,553","376,672",,"376,672"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,68,0603751N,RETRACT ELM,Y,"89,322","99,939",,"99,939","106,810",,"106,810"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,69,0603764M,LINK EVERGREEN,Y,"496,998","457,721",,"457,721","529,550",,"529,550"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,70,0603790N,NATO Research and Development,Y,"6,024","5,151",,"5,151","5,234",,"5,234"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,71,0603795N,Land Attack Technology,Y,"12,643","1,686",,"1,686","1,056",,"1,056"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,72,0603851M,Joint Non-Lethal Weapons Testing,Y,"26,838","30,263",,"30,263","9,832",,"9,832"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,73,0603860N,Joint Precision Approach and Landing Systems - Dem/Val,Y,"24,156","4,047",,"4,047","41,978",,"41,978"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,74,0603925N,Directed Energy and Electric Weapon Systems,Y,"63,518","19,877",,"19,877",,"61,000","61,000"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,75,0604014N,F/A -18 Infrared Search and Track (IRST),Y,"31,220","8,630",,"8,630",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,76,0604025M,Rapid Defense Experimentation Reserve (RDER),Y,,,,,99,,99
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,77,0604027N,Digital Warfare Office,Y,"179,327","128,997",,"128,997","151,271",,"151,271"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,78,0604028N,Small and Medium Unmanned Undersea Vehicles,Y,"88,372","52,994",,"52,994","4,855","137,152","142,007"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,79,0604029N,Unmanned Undersea Vehicle Core Technologies,Y,"69,476","114,152",,"114,152","47,106",,"47,106"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,80,0604030N,"Rapid Prototyping, Experimentation and Demonstration.",Y,"86,417","106,895",,"106,895",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,81,0604031N,Large Unmanned Undersea Vehicles,Y,"40,479","6,874",,"6,874",,"185,000","185,000"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,82,0604112N,Gerald R. Ford Class Nuclear Aircraft Carrier (CVN 78 - 80),Y,"112,593","96,670",,"96,670","112,704",,"112,704"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,83,0604127N,Surface Mine Countermeasures,Y,"15,524","15,271",,"15,271","18,504",,"18,504"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,84,0604272N,Tactical Air Directional Infrared Countermeasures (TADIRCM),Y,"33,972","35,030",,"35,030","14,387",,"14,387"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,85,0604286N,Navy Advanced Manufacturing,Y,,,,,"10,585",,"10,585"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,86,0604289M,Next Generation Logistics,Y,"4,875","8,114",,"8,114","2,722",,"2,722"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,87,0604292N,Future Vertical Lift (Maritime Strike),Y,"4,010","4,796",,"4,796","7,125",,"7,125"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,88,0604295M,Marine Aviation Demonstration/Validation,Y,,"55,805",,"55,805","38,873",,"38,873"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,89,0604320M,Rapid Technology Capability Prototype,Y,"50,681","86,215",,"86,215","16,316",,"16,316"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,90,0604454N,LX (R),Y,"21,186","9,767",,"9,767","26,709",,"26,709"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,91,0604536N,Advanced Undersea Prototyping,Y,"67,318","21,466",,"21,466","143,943","149,408","293,351"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,92,0604636N,Counter Unmanned Aircraft Systems (C-UAS),Y,"23,661","14,185",,"14,185","16,689","6,500","23,189"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,93,0604659N,Precision Strike Weapons Development Program,Y,"140,263","131,667",,"131,667","110,072",,"110,072"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,94,0604707N,Space and Electronic Warfare (SEW) Architecture/Engineering Support,Y,"9,608","8,896",,"8,896","6,866",,"6,866"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,95,0604786N,Offensive Anti-Surface Warfare Weapon Development,Y,"253,134","286,407",,"286,407","225,773",,"225,773"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,96,0605512N,MEDIUM UNMANNED SURFACE VEHICLES (MUSVs)),Y,"152,005","101,838",,"101,838",,"39,426","39,426"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,97,0605513N,Unmanned Surface Vehicle Enabling Capabilities,Y,"162,300","89,372",,"89,372","3,712","52,000","55,712"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,98,0605514M,GROUND BASED ANTI-SHIP MISSILE,Y,"33,409","50,916",,"50,916","29,004",,"29,004"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,99,0605516M,LONG RANGE FIRES,Y,"29,587","30,092",,"30,092",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,100,0605518N,CONVENTIONAL PROMPT STRIKE (CPS),Y,"1,076,050","903,927",,"903,927","798,337",,"798,337"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,101,0105519N,Nuclear-Armed Sea-Launched Cruise Missile (SLCM-N) Support,Y,,,,,,"1,929,931","1,929,931"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,102,0207147M,Collaborative Combat Aircraft,Y,,,,,"58,000",,"58,000"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,103,0303260N,Defense Military Deception Initiative,Y,,,,,"1,980",,"1,980"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,104,0303354N,ASW Systems Development - MIP,Y,"10,167","7,253",,"7,253","3,864",,"3,864"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,105,0304240M,Advanced Tactical Unmanned Aircraft System,Y,"10,539","3,504",,"3,504","2,822",,"2,822"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,106,0304270N,Electronic Warfare Development - MIP,Y,"1,212","1,395",,"1,395","1,278",,"1,278"
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced Component Development and Prototypes,107,0304797N,Undersea Artificial Intelligence / Machine Learning (AI/ML),Y,,"28,563",,"28,563","29,308",,"29,308"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,108,0603208N,Training System Aircraft,Y,"39,283","26,120",,"26,120","15,101",,"15,101"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,109,0604038N,Maritime Targeting Cell,Y,"50,879","43,301",,"43,301","147,802",,"147,802"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,110,0604212M,Other Helo Development,Y,"53,360",,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,111,0604212N,Other Helo Development,Y,"2,595",,,,987,,987
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,112,0604214M,AV-8B Aircraft - Eng Dev,Y,"8,215","5,320",,"5,320",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,113,0604215N,Standards Development,Y,"3,880","5,120",,"5,120","4,540",,"4,540"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,114,0604216N,Multi-Mission Helicopter Upgrade Development,Y,"70,559","65,438",,"65,438","64,838",,"64,838"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,115,0604221N,P-3 Modernization Program,Y,756,,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,116,0604230N,Warfare Support System,Y,"132,608","108,432",,"108,432","15,778","39,300","55,078"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,117,0604231N,Command and Control Systems,Y,"84,804","144,391",,"144,391","64,547",,"64,547"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,118,0604234N,Advanced Hawkeye,Y,"365,249","288,268",,"288,268","350,324",,"350,324"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,119,0604245M,H-1 Upgrades,Y,"29,181","39,023",,"39,023","62,240",,"62,240"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,120,0604261N,Acoustic Search Sensors,Y,"60,075","53,591",,"53,591","52,549",,"52,549"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,121,0604262N,V-22,Y,"144,671","108,225",,"108,225","124,958",,"124,958"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,122,0604264N,Air Crew Systems Development,Y,"33,686","29,330",,"29,330","44,297",,"44,297"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,123,0604269N,EA-18,Y,"159,787","167,450",,"167,450","184,921",,"184,921"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,124,0604270N,Electronic Warfare Development,Y,"144,052","186,150",,"186,150","185,606",,"185,606"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,125,0604273M,Executive Helo Development,Y,"34,518","51,366",,"51,366","74,980",,"74,980"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,126,0604274N,Next Generation Jammer (NGJ),Y,"39,913","76,721",,"76,721","64,167",,"64,167"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,127,0604280N,Joint Tactical Radio System - Navy (JTRS-Navy),Y,"444,615","330,559",,"330,559","289,345",,"289,345"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,128,0604282N,Next Generation Jammer (NGJ) Increment II,Y,"154,229","147,091",,"147,091","228,256",,"228,256"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,129,0604307N,Surface Combatant Combat System Engineering,Y,"425,017","528,234",,"528,234","432,981","94,500","527,481"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,130,0604329N,Small Diameter Bomb (SDB),Y,"50,208","19,744",,"19,744","23,836",,"23,836"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,131,0604366N,Standard Missile Improvements,Y,"366,181","288,297",,"288,297","412,964",,"412,964"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,132,0604373N,Airborne MCM,Y,"10,921","11,066",,"11,066","8,372",,"8,372"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,133,0604378N,Naval Integrated Fire Control - Counter Air Systems Engineering,Y,"78,061","41,419",,"41,419","39,878",,"39,878"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,134,0604419N,Advanced Sensors Application Program (ASAP),Y,"10,000",,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,135,0604501N,Advanced Above Water Sensors,Y,"106,609","112,231",,"112,231","67,881",,"67,881"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,136,0604503N,Submarine SWFTS Modernization,Y,"90,130","97,953",,"97,953","204,158",,"204,158"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,137,0604504N,Air Control,Y,"42,059","64,458",,"64,458","23,930",,"23,930"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,138,0604512N,Shipboard Aviation Systems,Y,"10,160","10,742",,"10,742","33,704",,"33,704"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,139,0604516N,Ship Survivability,Y,,,,,"4,364",,"4,364"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,140,0604518N,Combat Information Center Conversion,Y,"11,179","10,621",,"10,621",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,141,0604522N,Air and Missile Defense Radar (AMDR) System,Y,"87,175","107,924",,"107,924","74,937","13,000","87,937"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,142,0604530N,Advanced Arresting Gear (AAG),Y,"10,028","9,142",,"9,142","32,037",,"32,037"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,143,0604558N,New Design SSN,Y,"232,778","273,848",,"273,848","247,293",,"247,293"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,144,0604562N,Submarine Tactical Warfare System,Y,"69,746","71,982",,"71,982",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,145,0604567N,Ship Contract Design/ Live Fire T&E,Y,"22,302","13,675",,"13,675","28,400",,"28,400"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,146,0604574N,Navy Tactical Computer Resources,Y,"4,259","3,921",,"3,921","3,552",,"3,552"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,147,0604601N,Mine Development,Y,"101,274","84,411",,"84,411",130,"61,326","61,456"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,148,0604610N,Lightweight Torpedo Development,Y,"172,572","94,465",,"94,465","12,565","88,179","100,744"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,149,0604654N,Joint Service Explosive Ordnance Development,Y,"8,707","8,810",,"8,810","8,740",,"8,740"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,150,0604657M,USMC Ground Combat/Supporting Arms Systems - Eng Dev,Y,"33,610","33,880",,"33,880","17,377",,"17,377"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,151,0604703N,"Personnel, Training, Simulation, and Human Factors",Y,"8,960","10,011",,"10,011","6,703",,"6,703"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,152,0604727N,Joint Standoff Weapon Systems,Y,"1,895","1,516",,"1,516",895,,895
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,153,0604755N,Ship Self Defense (Detect & Control),Y,"150,253","170,080",,"170,080","167,711",,"167,711"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,154,0604756N,Ship Self Defense (Engage: Hard Kill),Y,"46,724","59,614",,"59,614","145,007","200,000","345,007"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,155,0604757N,Ship Self Defense (Engage: Soft Kill/EW),Y,"121,212","146,791",,"146,791","232,368",,"232,368"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,156,0604761N,Intelligence Engineering,Y,"21,095","23,810",,"23,810","7,023",,"7,023"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,157,0604771N,Medical Development,Y,"17,475","8,371",,"8,371","7,629",,"7,629"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,158,0604777N,Navigation/ID System,Y,"50,863","44,326",,"44,326","3,724",,"3,724"
