Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
SPE8ED25V0206,12/18/2024,INTEGRATED PROCUREMENT TECHNOLOGIES,26634.86,8511087198!MUFFLER INSTL,SPE8EF25T0344,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,333120 CONSTRUCTION MACHINERY MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,12/18/2024,6/26/2025,7/5/2025,CONT_AWD_SPE8ED25V0206_9700_-NONE-_-NONE-,12/18/2024,SPE8ED
SPE8ED25V0207,12/18/2024,INTEGRATED PROCUREMENT TECHNOLOGIES,82960,8511087543!AIR CLNR ASSY-INTAK,SPE8EF25T0337,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,12/18/2024,8/15/2025,7/14/2025,CONT_AWD_SPE8ED25V0207_9700_-NONE-_-NONE-,12/18/2024,SPE8ED
SPE8ED25V0334,2/13/2025,INTEGRATED PROCUREMENT TECHNOLOGIES,7028.05,"8511188290!CYLINDER,GAS,COATED",SPE8EF25T0633,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,332439 OTHER METAL CONTAINER MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,2/13/2025,9/11/2025,4/4/2025,CONT_AWD_SPE8ED25V0334_9700_-NONE-_-NONE-,2/13/2025,SPE8ED
SPE8ED25V0485,5/20/2025,INTEGRATED PROCUREMENT TECHNOLOGIES,3111.45,8511394374!TUBING ASSY,SPE8EF25T1114,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,332439 OTHER METAL CONTAINER MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,5/20/2025,10/17/2025,7/14/2025,CONT_AWD_SPE8ED25V0485_9700_-NONE-_-NONE-,5/20/2025,SPE8ED
SPE8ED25V0486,5/20/2025,SAGINAW PRODUCTS CORPORATION,5040,8511394461!TIRE,SPE8EF25T1201,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,333120 CONSTRUCTION MACHINERY MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,5/20/2025,8/4/2025,8/16/2025,CONT_AWD_SPE8ED25V0486_9700_-NONE-_-NONE-,5/20/2025,SPE8ED
SPE8EF25P0023,10/4/2024,S I T CORPORATION,9466.88,"8510938920!BELT,AIRCRAFT,MATER",SPE8EF24T2313,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,8,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336390 OTHER MOTOR VEHICLE PARTS MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,10/4/2024,4/17/2025,4/20/2025,CONT_AWD_SPE8EF25P0023_9700_-NONE-_-NONE-,10/4/2024,SPE8EF
SPE8EF25P0029,10/16/2024,INTEGRATED PROCUREMENT TECHNOLOGIES,38512,8510954001!INTERMODUL FLANGE,SPE8EF24T2369,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336390 OTHER MOTOR VEHICLE PARTS MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,10/16/2024,5/14/2025,5/17/2025,CONT_AWD_SPE8EF25P0029_9700_-NONE-_-NONE-,10/16/2024,SPE8EF
SPE8EF25P0030,10/15/2024,"AERO MANUFACTURING, L.L.C",16030,"8510954093!SUPPORT,HUB,PROPELL",SPE8EF24T2050,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,2,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,333120 CONSTRUCTION MACHINERY MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,10/15/2024,2/27/2025,3/1/2025,CONT_AWD_SPE8EF25P0030_9700_-NONE-_-NONE-,10/15/2024,SPE8EF
SPE8EF25P0073,11/25/2024,DEVAL LIFE CYCLE SUPPORT LLC,5227.65,"8511039244!NRP,CLAMP,UPPER A00",SPE8EF25T0051,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,2,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,332439 OTHER METAL CONTAINER MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,11/25/2024,3/25/2025,3/29/2025,CONT_AWD_SPE8EF25P0073_9700_-NONE-_-NONE-,11/25/2024,SPE8EF
SPE8EF25P0084,12/11/2024,INNOVATIVE PACKAGING & CRATING SOLUTIONS LLC,9985,"8511067801!SKID,CONTAINER",SPE8EF25T0118,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,333120 CONSTRUCTION MACHINERY MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,12/11/2024,1/25/2025,3/16/2025,CONT_AWD_SPE8EF25P0084_9700_-NONE-_-NONE-,12/11/2024,SPE8EF
SPE8EF25P0087,12/11/2024,INTEGRATED PROCUREMENT TECHNOLOGIES,15404.8,8511070502!INTERMODUL FLANGE,SPE8EF25T0254,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336390 OTHER MOTOR VEHICLE PARTS MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,12/11/2024,7/9/2025,7/7/2025,CONT_AWD_SPE8EF25P0087_9700_-NONE-_-NONE-,12/11/2024,SPE8EF
