Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
SPRTA123F0099,3/13/2023,ROLLS-ROYCE CORPORATION,160000,"FMS BUY FOR CASE,COMPRESSOR,AIR FOR T56",SPRTA123Q0047,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/13/2023,10/1/2024,11/20/2024,CONT_AWD_SPRTA123F0099_9700_N0038321GZ501_9700,3/13/2023,SPRTA1
SPRTA123F0103,4/5/2023,RTX CORPORATION,79293.06,NEW MANUFACTURED MATERIAL APPLICABEL TO F100 ENGINES,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS","332722 BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",Department of Defense,Department of the Air Force,DELIVERY ORDER,4/5/2023,5/30/2025,4/5/2023,CONT_AWD_SPRTA123F0103_9700_SPE4AX16D9476_9700,4/5/2023,SPRTA1
SPRTA123F0106,3/22/2023,RTX CORPORATION,134403.35,AUGMENTOR NOZZLE SE,SPRTA123Q0036,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,2,FIRM FIXED PRICE,NO SET ASIDE USED.,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/22/2023,12/31/2024,8/10/2023,CONT_AWD_SPRTA123F0106_9700_SPE4A121G0001_9700,3/22/2023,SPRTA1
SPRTA123F0112,3/14/2023,GENERAL ELECTRIC COMPANY,5251288.36,PACER DRAGON,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3YCAB 848 SCMG GLSC,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/14/2023,3/31/2025,12/8/2023,CONT_AWD_SPRTA123F0112_9700_SPE4AX18D9419_9700,3/14/2023,SPRTA1
SPRTA123F0115,3/23/2023,ROLLS-ROYCE CORPORATION,320453.52,"FMS BUY FOR SHAFT,TURBINE,AIRCR",,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,F3YCAB 848 SCMG GLSC,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/23/2023,2/1/2025,2/9/2025,CONT_AWD_SPRTA123F0115_9700_SPE4AX20D9400_9700,3/23/2023,SPRTA1
SPRTA123F0117,3/31/2023,ROLLS-ROYCE CORPORATION,254691.78,"FMS BUY FOR BRAKE, SHAFT, PROP FOR T56",SPRTA123Q0073,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/31/2023,5/1/2024,11/20/2024,CONT_AWD_SPRTA123F0117_9700_N0038321GZ501_9700,3/31/2023,SPRTA1
SPRTA123F0119,4/17/2023,RTX CORPORATION,300429.78,NEW MANUFACTURED MATERIAL APPLICABLE TO F100 ENGINES,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3YCAB 848 SCMG GLSC,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS","332722 BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",Department of Defense,Department of the Air Force,DELIVERY ORDER,4/17/2023,8/29/2025,4/17/2023,CONT_AWD_SPRTA123F0119_9700_SPE4AX16D9476_9700,4/17/2023,SPRTA1
SPRTA123F0121,3/31/2023,ROLLS-ROYCE CORPORATION,297011.84,"SUPPORT,BEARING,AIR",,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/31/2023,12/31/2024,4/1/2024,CONT_AWD_SPRTA123F0121_9700_SPE4AX20D9400_9700,3/31/2023,SPRTA1
SPRTA123F0123,3/28/2023,CFM INTERNATIONAL INC,0,AF PURCHASE OF 41 EA NSN: 2840-01-240-3416,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3YCAB 848 SCMG GLSC,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/28/2023,4/12/2023,4/12/2023,CONT_AWD_SPRTA123F0123_9700_SPE4AX17D9403_9700,3/28/2023,SPRTA1
SPRTA123F0125,3/28/2023,CFM INTERNATIONAL INC,568782.5,"NOUN: CONE,INLET,AIRCRAFT",,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3YCAB 848 SCMG GLSC,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/28/2023,6/1/2023,6/29/2023,CONT_AWD_SPRTA123F0125_9700_SPE4AX17D9403_9700,3/28/2023,SPRTA1
SPRTA123F0126,3/30/2023,CFM INTERNATIONAL INC,618436.5,"CONE,INLET",,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3YCAB 848 SCMG GLSC,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/30/2023,11/3/2025,3/30/2023,CONT_AWD_SPRTA123F0126_9700_SPE4AX17D9403_9700,3/30/2023,SPRTA1
SPRTA123F0130,5/1/2023,RTX CORPORATION,385810.17,NEW MANUFACTURED MATERIAL APPLICABLE TO F100 ENGINES,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3YCAB 848 SCMG GLSC,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS","332722 BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",Department of Defense,Department of the Air Force,DELIVERY ORDER,5/1/2023,5/30/2025,5/1/2023,CONT_AWD_SPRTA123F0130_9700_SPE4AX16D9476_9700,5/1/2023,SPRTA1
SPRTA123F0131,5/3/2023,GENERAL ELECTRIC COMPANY,21786.85,FMS PURCHASE OF 1 EA NSN: 2840-01-263-3286,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,5/3/2023,10/1/2025,11/3/2023,CONT_AWD_SPRTA123F0131_9700_SPE4A122G0010_9700,5/3/2023,SPRTA1
