Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
SPE4A723F4257,2023-02-08,"CHASE SUPPLY, INC.",16827.84,"8509688725!VALVE,RELIEF,3800PS",106,-840,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,334419 OTHER ELECTRONIC COMPONENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-08,2023-05-25,2023-10-21,CONT_AWD_SPE4A723F4257_9700_SPE4A618D0155_9700,2023-02-08,SPE4A7
SPE4A723F4305,2023-02-21,THE BOEING COMPANY,0.0,"8509694328!WIRE ROPE ASSEMBLY,",556,-377,Ended,SPE4A521T544X,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-21,2024-08-30,2023-07-03,CONT_AWD_SPE4A723F4305_9700_SPE4A119G0013_9700,2023-02-21,SPE4A7
SPE4A723F4505,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",18566.89,8509709402!CONVEYOR ELEMENT CH,180,-757,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-08-16,2024-05-08,CONT_AWD_SPE4A723F4505_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4512,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",4035.3,"8509709368!HALF MOUNTING,QD,AI",122,-815,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-06-19,2024-05-08,CONT_AWD_SPE4A723F4512_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4521,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",7678.02,"8509709382!HOSE ASSEMBLY,L.P.,",122,-815,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-06-19,2024-05-08,CONT_AWD_SPE4A723F4521_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4522,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",844.32,"8509709436!HOSE HOOK,AIRCRAFT,",150,-787,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-07-17,2024-05-08,CONT_AWD_SPE4A723F4522_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4528,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",478.72,"8509709502!HANDLE,AIRCRAFT,MAT",122,-815,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-06-19,2024-05-08,CONT_AWD_SPE4A723F4528_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4809,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",10413.75,"8509710553!NRP,DIESEL ENGINE A",180,-757,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-08-16,2024-07-27,CONT_AWD_SPE4A723F4809_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4823,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",3168.3,"8509710603!PLUG VALVE,AIRCRAFT",122,-815,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-06-19,2024-05-08,CONT_AWD_SPE4A723F4823_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4849,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",1222.2,"8509710714!NRP,FILTER PRESSURE",122,-815,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-06-19,2024-05-08,CONT_AWD_SPE4A723F4849_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4851,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",513.8,"8509710740!FILTER,AIRCRAFT,MAT",122,-815,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-06-19,2024-05-08,CONT_AWD_SPE4A723F4851_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4858,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",23529.36,"8509710706!NRP,HOSE ASSEMBLY A",150,-787,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-07-17,2024-05-08,CONT_AWD_SPE4A723F4858_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4884,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",2396.05,"8509710814!NRP,LEVEL SWITCH AS",122,-815,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-06-19,2024-05-08,CONT_AWD_SPE4A723F4884_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4904,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",249.38,"8509710861!NRP,SOLENIOD VALVE",122,-815,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-06-19,2024-05-08,CONT_AWD_SPE4A723F4904_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F4912,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",2390.5,"8509710846!NRP,LEVEL SWITCH AS",122,-815,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-06-19,2024-05-08,CONT_AWD_SPE4A723F4912_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F5046,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",1290.13,"8509711503!HOSE,ASSY FILL,AIRC",150,-787,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-07-17,2024-05-08,CONT_AWD_SPE4A723F5046_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F5047,2023-02-17,"HYDRAULICS INTERNATIONAL, INC.",2580.26,"8509711504!HOSE,ASSY FILL,AIRC",150,-787,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-17,2023-07-17,2024-05-08,CONT_AWD_SPE4A723F5047_9700_SPE4A520DC001_9700,2023-02-17,SPE4A7
SPE4A723F5108,2023-02-21,"KELL-STROM TOOL INTERNATIONAL, INC.",3392.9,"8509717182!HAND KIT,MASTIC REM",120,-813,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,,FIRM FIXED PRICE,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-02-21,2023-06-21,2023-06-25,CONT_AWD_SPE4A723F5108_9700_SPE4A618D5676_9700,2023-02-21,SPE4A7
SPE4A723F5678,2023-03-13,"KELL-STROM TOOL INTERNATIONAL, INC.",3117.8,"8509757419!HAND KIT,MASTIC REM",120,-793,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,,FIRM FIXED PRICE,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-03-13,2023-07-11,2023-03-13,CONT_AWD_SPE4A723F5678_9700_SPE4A618D5676_9700,2023-03-13,SPE4A7
SPE4A723F5867,2023-05-08,"HYDRAULICS INTERNATIONAL, INC.",1740.12,"8509766132!NRP,FLOAT VALVE ASS",120,-737,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-05-08,2023-09-05,2024-05-08,CONT_AWD_SPE4A723F5867_9700_SPE4A520DC001_9700,2023-05-08,SPE4A7
