Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,BSA,Budget SubActivity (BSA) Title,Budget Line Item,Budget Line Item (BLI) Title,Cost Type,Cost Type Title,FY 2024 Actuals Quantity,FY 2024 Actuals Amount,FY 2025 Enacted Quantity,FY 2025 Enacted Amount,FY 2026 Disc Request Quantity,FY 2026 Disc Request Amount,FY 2026 Reconciliation Request Quantity,FY 2026 Reconciliation Request Amount,FY 2026 Total Quantity,FY 2026 Total Amount
2035A,"Other Procurement, Army",A,03,Other support equipment,141,15,Bridging Equipment,2831MX0100,Tactical Bridging,A,Weapon System Cost,,"1,157",,,,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,142,15,Bridging Equipment,3542MA8890,"Tactical Bridge, Float-Ribbon",A,Weapon System Cost,,"82,228",,"97,231",,"69,863",,,,"69,863"
2035A,"Other Procurement, Army",A,03,Other support equipment,143,15,Bridging Equipment,3758G06520,BRIDGE SUPPLEMENTAL SET,A,Weapon System Cost,,"4,414",,,,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,146,20,Engineer (Non-Construction) Equipment,2881R68400,Grnd Standoff Mine Detectn Sysm (GSTAMIDS),A,Weapon System Cost,,"15,000",,,,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,150,20,Engineer (Non-Construction) Equipment,4868W12002,Robotics and Applique Systems,A,Weapon System Cost,,"65,118",,"67,469",,509,,,,509
2035A,"Other Procurement, Army",A,03,Other support equipment,151,20,Engineer (Non-Construction) Equipment,5913R63610,Render Safe Sets kits Outfits,A,Weapon System Cost,,,,"16,440",,"14,184",,,,"14,184"
2035A,"Other Procurement, Army",A,03,Other support equipment,152,20,Engineer (Non-Construction) Equipment,8500R12001,Family of Boats and Motors,A,Weapon System Cost,,"4,785",,"1,922",,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,153,25,Combat Service Support Equipment,0100MF9000,Heaters and ECU's,A,Weapon System Cost,,"7,170",,"14,355",,"14,288",,,,"14,288"
2035A,"Other Procurement, Army",A,03,Other support equipment,155,25,Combat Service Support Equipment,8822G01101,Personnel Recovery Support System (PRSS),A,Weapon System Cost,,"5,356",,"6,503",,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,156,25,Combat Service Support Equipment,8825R80501,Ground Soldier System,A,Weapon System Cost,,"154,262",,"151,613",,"178,850",,,,"178,850"
2035A,"Other Procurement, Army",A,03,Other support equipment,157,25,Combat Service Support Equipment,8827R80800,Mobile Soldier Power,A,Weapon System Cost,,"13,284",,"19,929",,"15,729",,,,"15,729"
2035A,"Other Procurement, Army",A,03,Other support equipment,158,25,Combat Service Support Equipment,8860M80200,Force Provider,A,Weapon System Cost,,"75,200",,"20,569",,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,159,25,Combat Service Support Equipment,9120M65800,Field Feeding Equipment,A,Weapon System Cost,,,,,,"4,500",,,,"4,500"
2035A,"Other Procurement, Army",A,03,Other support equipment,160,25,Combat Service Support Equipment,9140MA7804,Cargo Aerial Del & Personnel Parachute System,A,Weapon System Cost,,"42,279",,"46,312",,"61,224",,,,"61,224"
2035A,"Other Procurement, Army",A,03,Other support equipment,161,25,Combat Service Support Equipment,9462R70001,Family Of Engr Combat and Construction Sets,A,Weapon System Cost,,"12,118",,"9,217",,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,163,30,Petroleum Equipment,0725MB6400,QUALITY SURVEILLANCE EQUIPMENT,A,Weapon System Cost,,"2,507",,,,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,164,30,Petroleum Equipment,4700MA6000,"Distribution Systems, Petroleum & Water",A,Weapon System Cost,,"41,739",,"44,602",,"96,020",,,,"96,020"
2035A,"Other Procurement, Army",A,03,Other support equipment,165,40,Medical Equipment,7500MN1000,Combat Support Medical,A,Weapon System Cost,,"86,829",,"72,157",,"99,567",,,,"99,567"
2035A,"Other Procurement, Army",A,03,Other support equipment,166,45,Maintenance Equipment,0639G05301,Mobile Maintenance Equipment Systems,A,Weapon System Cost,,"137,287",,"126,271",,"63,311",,,,"63,311"
2035A,"Other Procurement, Army",A,03,Other support equipment,169,50,Construction Equipment,0387R02700,CONSTRUCTION EQUIPMENT,A,Weapon System Cost,,,87,"47,109",,"92,299",,,,"92,299"
2035A,"Other Procurement, Army",A,03,Other support equipment,173,50,Construction Equipment,4700M05800,"Tractor, Full Tracked",A,Weapon System Cost,,"48,406",,,,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,174,50,Construction Equipment,4734R06701,All Terrain Cranes,A,Weapon System Cost,,"35,725",,,,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,175,50,Construction Equipment,7495R05901,High Mobility Engineer Excavator (HMEE),A,Weapon System Cost,,"50,272",,,,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,176,50,Construction Equipment,9113R07005,Family of Diver Support Equipment,A,Weapon System Cost,,"1,811",,,,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,177,50,Construction Equipment,9120M05500,Const Equip ESP,A,Weapon System Cost,,"6,534",,,,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,179,55,Rail Float Containerization Equipment,3569M11101,Army Watercraft Esp,A,Weapon System Cost,,"30,592",,"55,459",,"57,342",,,,"57,342"
2035A,"Other Procurement, Army",A,03,Other support equipment,180,55,Rail Float Containerization Equipment,8211R01001,Maneuver Support Vessel (MSV),A,Weapon System Cost,,"149,449",,"88,634",,"33,949",,,,"33,949"
2035A,"Other Procurement, Army",A,03,Other support equipment,181,55,Rail Float Containerization Equipment,9552ML5355,Items Less Than $5.0M (Float/Rail),A,Weapon System Cost,,,,"20,036",,"18,217",,,,"18,217"
2035A,"Other Procurement, Army",A,03,Other support equipment,182,60,Generators,0426MA9800,Generators And Associated Equip,A,Weapon System Cost,,"79,509",,"93,591",,"89,073",,,,"89,073"
2035A,"Other Procurement, Army",A,03,Other support equipment,183,60,Generators,9012R42501,Tactical Electric Power Recapitalization,A,Weapon System Cost,,"19,088",,,,,,,,
2035A,"Other Procurement, Army",A,03,Other support equipment,184,65,Material Handling Equipment,5558G41001,Family Of Forklifts,A,Weapon System Cost,,"15,115",,"7,849",,"12,576",,,,"12,576"
2035A,"Other Procurement, Army",A,03,Other support equipment,185,70,Training Equipment,1780MA6600,Combat Training Centers Support,A,Weapon System Cost,,"61,119",,"38,682",,"49,025",,,,"49,025"
2035A,"Other Procurement, Army",A,03,Other support equipment,186,70,Training Equipment,2062NA0100,"Training Devices, Nonsystem",A,Weapon System Cost,,"216,831",,"174,890",,"189,306",,,,"189,306"
2035A,"Other Procurement, Army",A,03,Other support equipment,187,70,Training Equipment,2079NA2000,Synthetic Training Environment (STE),A,Weapon System Cost,,"230,197",,"194,009",,"166,402",,,,"166,402"
2035A,"Other Procurement, Army",A,03,Other support equipment,189,70,Training Equipment,6860NA0176,Gaming Technology In Support of Army Training,A,Weapon System Cost,,"9,698",,"10,172",,"7,320",,,,"7,320"
2035A,"Other Procurement, Army",A,03,Other support equipment,191,80,Test Measure and Dig Equipment (TMD),0200MB4000,Integrated Family Of Test Equipment (IFTE),A,Weapon System Cost,,"36,149",,"48,329",,"38,784",,,,"38,784"
2035A,"Other Procurement, Army",A,03,Other support equipment,193,80,Test Measure and Dig Equipment (TMD),0605G02510,Test Equipment Modernization (TEMOD),A,Weapon System Cost,,"32,436",,"46,128",,"51,119",,,,"51,119"
2035A,"Other Procurement, Army",A,03,Other support equipment,195,90,Other Support Equipment,0050MA0780,Physical Security Systems (OPA3),A,Weapon System Cost,,"128,080",,"138,459",,"136,315",,,,"136,315"
2035A,"Other Procurement, Army",A,03,Other support equipment,196,90,Other Support Equipment,0312MB7000,Base Level Common Equipment,A,Weapon System Cost,,"28,485",,"29,968",,"19,452",,,,"19,452"
2035A,"Other Procurement, Army",A,03,Other support equipment,197,90,Other Support Equipment,1110MA4500,Modification Of In-Svc Equipment (OPA-3),A,Weapon System Cost,,"49,319",,"52,487",,"31,452",,,,"31,452"
2035A,"Other Procurement, Army",A,03,Other support equipment,198,90,Other Support Equipment,1500MA9160,"BUILDING, PRE-FAB, RELOCATABLE",A,Weapon System Cost,,"12,500",,"14,622",,"10,490",,,,"10,490"
2035A,"Other Procurement, Army",A,03,Other support equipment,200,90,Other Support Equipment,1573MA6820,Special Equipment for Test and Evaluation,A,Weapon System Cost,,"52,481",,"90,705",,"93,777",,,,"93,777"
2035A,"Other Procurement, Army",A,03,Other support equipment,203,90,Other Support Equipment,9900MA9999,Closed Account Adjustments,A,Weapon System Cost,,103,,,,,,,,
2035A,"Other Procurement, Army",A,04,Spares and repair parts,205,20,OPA2,0200BS9100,INITIAL SPARES - C&E,A,Weapon System Cost,,"9,169",,"9,810",,"7,254",,,,"7,254"
2035A,"Other Procurement, Army",A,06,AGILE PORTFOLIO MANAGEMENT,207,10,Agile Portfolio Management,0010I24000,COUNTER-SMALL UNMANNED AERIAL SYSTEM (C-SUAS),A,Weapon System Cost,,,,,,"306,568",,"386,800",,"693,368"
2035A,"Other Procurement, Army",A,06,AGILE PORTFOLIO MANAGEMENT,208,10,Agile Portfolio Management,1000I31000,ELECTRONIC WARFARE,A,Weapon System Cost,,,,,,"24,547",,,,"24,547"
2035A,"Other Procurement, Army",A,06,AGILE PORTFOLIO MANAGEMENT,209,10,Agile Portfolio Management,2000I32000,ELECTRONIC WARFARE AGILE,A,Weapon System Cost,,,,,,"54,427",,,,"54,427"
2035A,"Other Procurement, Army",A,06,AGILE PORTFOLIO MANAGEMENT,210,10,Agile Portfolio Management,2010I42000,SOLDIER BORNE SENSOR,A,Weapon System Cost,,,,,,"21,919",,,,"21,919"
0390D,"Chemical Agents and Munitions Destruction, Defense",A,01,Operation and maintenance,1,01,Operation & Maintenance,O&M,Chem Demilitarization - O&M,A,Weapon System Cost,,"87,404",,"20,745",,"3,243",,,,"3,243"
0390D,"Chemical Agents and Munitions Destruction, Defense",A,02,"Research, Development, Test, and Evaluation",3,01,RDT&E,RDT&E,Chem Demilitarization - RDT&E,A,Weapon System Cost,,"1,002,560",,"754,762",,"210,039",,,,"210,039"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,2,01,Combat Aircraft,0145,F/A-18E/F (Fighter) Hornet,A,Weapon System Cost,,"41,329",,"28,554",,"50,607",,,,"50,607"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,4,01,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,19,"2,634,073",17,"2,473,555",12,"2,127,230",,,12,"2,127,230"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,4,01,Combat Aircraft,0147,Joint Strike Fighter CV,B,Less: Advance Procurement (PY),,"-192,376",,"-158,296",,"-175,601",,,,"-175,601"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,5,01,Combat Aircraft,0147,Joint Strike Fighter CV,C,Advance Procurement (CY),,"158,296",,"196,634",,"401,596",,,,"401,596"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,6,01,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,16,"2,371,197",13,"2,130,050",11,"1,940,880",,,11,"1,940,880"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,6,01,Combat Aircraft,0152,JSF STOVL,B,Less: Advance Procurement (PY),,"-210,118",,"-158,363",,"-153,567",,,,"-153,567"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,7,01,Combat Aircraft,0152,JSF STOVL,C,Advance Procurement (CY),,"158,363",,"169,389",,"113,744",,,,"113,744"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,8,01,Combat Aircraft,0158,CH-53K (Heavy Lift),A,Weapon System Cost,15,"2,027,742",20,"2,650,224",12,"2,114,231",,,12,"2,114,231"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,8,01,Combat Aircraft,0158,CH-53K (Heavy Lift),B,Less: Advance Procurement (PY),,"-341,692",,"-456,567",,"-406,630",,,,"-406,630"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,9,01,Combat Aircraft,0158,CH-53K (Heavy Lift),C,Advance Procurement (CY),,"456,567",,"422,972",,"335,352",,,,"335,352"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,10,01,Combat Aircraft,0164,V-22 (Medium Lift),A,Weapon System Cost,5,"694,916",,"30,175",,"47,196",,,,"47,196"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,12,01,Combat Aircraft,0178,H-1 Upgrades (UH-1Y/AH-1Z),A,Weapon System Cost,,"4,275",,"8,701",,"8,305",,,,"8,305"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,14,01,Combat Aircraft,0193,P-8A Poseidon,A,Weapon System Cost,10,"1,831,257",,"12,424",,"13,631",,,,"13,631"
1506N,"Aircraft Procurement, Navy",N,01,Combat aircraft,15,01,Combat Aircraft,0195,E-2D Adv Hawkeye,A,Weapon System Cost,2,"571,100",,"95,219",4,"1,503,556",,,4,"1,503,556"
1506N,"Aircraft Procurement, Navy",N,03,Trainer aircraft,18,01,Trainer Aircraft,0343,Multi-Engine Training System (METS),A,Weapon System Cost,26,"297,141",27,"301,303",,,,,,
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,23,01,Other Aircraft,0416,KC-130J,A,Weapon System Cost,3,"389,213",2,"294,406",,"18,017",,,,"18,017"
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,23,01,Other Aircraft,0416,KC-130J,B,Less: Advance Procurement (PY),,"-29,122",,,,,,,,
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,27,01,Other Aircraft,0442,MQ-4 Triton,A,Weapon System Cost,2,"476,345",,"159,226",,"133,139",,,,"133,139"
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,27,01,Other Aircraft,0442,MQ-4 Triton,B,Less: Advance Procurement (PY),,"-60,335",,,,,,,,
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,29,01,Other Aircraft,0443,MQ-8 UAV,A,Weapon System Cost,,"1,546",,,,,,,,
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,31,01,Other Aircraft,0449,MQ-25,A,Weapon System Cost,,"50,016",,"61,979",3,"407,046",,"100,000",3,"507,046"
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,31,01,Other Aircraft,0449,MQ-25,B,Less: Advance Procurement (PY),,"-50,016",,"-11,979",,,,,,
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,32,01,Other Aircraft,0449,MQ-25,C,Advance Procurement (CY),,"11,979",,,,"52,191",,,,"52,191"
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,34,01,Other Aircraft,0452,Marine Group 5 UAS,A,Weapon System Cost,5,"86,063",,"19,081",,"15,162",,,,"15,162"
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,36,01,Other Aircraft,0465,Other Support Aircraft,A,Weapon System Cost,3,"57,053",,,1,"19,812",,,1,"19,812"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,39,01,Modification of Aircraft,0502,F-18 A-D Unique,A,Weapon System Cost,,"108,226",,"80,301",,"53,809",,,,"53,809"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,40,01,Modification of Aircraft,0505,F-18E/F and EA-18G Modernization and Sustainm,A,Weapon System Cost,,"602,999",,"483,823",,"576,229",,,,"576,229"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,41,01,Modification of Aircraft,0507,Marine Group 5 UAS Series,A,Weapon System Cost,,"93,063",,"112,672",,"143,695",,,,"143,695"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,42,01,Modification of Aircraft,0513,AEA Systems,A,Weapon System Cost,,"22,396",,"17,460",,"25,848",,,,"25,848"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,43,01,Modification of Aircraft,0514,AV-8 Series,A,Weapon System Cost,,"3,137",,"3,584",,,,,,
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,44,01,Modification of Aircraft,0515,Infrared Search and Track (IRST),A,Weapon System Cost,,"179,193",,"146,876",,"175,351",,,,"175,351"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,45,01,Modification of Aircraft,0522,Adversary,A,Weapon System Cost,,"69,285",,"49,724",,"21,535",,,,"21,535"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,46,01,Modification of Aircraft,0525,F-18 Series,A,Weapon System Cost,,"623,956",,"639,450",,"756,967",,,,"756,967"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,47,01,Modification of Aircraft,0528,H-53 Series,A,Weapon System Cost,,"29,133",,"95,462",,"69,227",,,,"69,227"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,48,01,Modification of Aircraft,0530,MH-60 Series,A,Weapon System Cost,,"104,076",,"97,265",,"115,545",,,,"115,545"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,49,01,Modification of Aircraft,0532,H-1 Series,A,Weapon System Cost,,"124,204",,"146,204",,"149,405",,,,"149,405"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,50,01,Modification of Aircraft,0537,EP-3 Series,A,Weapon System Cost,,"8,548",,,,,,,,
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,51,01,Modification of Aircraft,0544,E-2 Series,A,Weapon System Cost,,"173,621",,"135,024",,"143,772",,,,"143,772"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,52,01,Modification of Aircraft,0549,Trainer A/C Series,A,Weapon System Cost,,"16,376",,"12,415",,"12,151",,,,"12,151"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,54,01,Modification of Aircraft,0560,C-130 Series,A,Weapon System Cost,,"182,730",,"168,134",,"144,017",,,,"144,017"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,55,01,Modification of Aircraft,0561,FEWSG,A,Weapon System Cost,,651,,663,,5,,,,5
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,56,01,Modification of Aircraft,0562,Cargo/Transport A/C Series,A,Weapon System Cost,,"13,710",,"13,162",,"7,526",,,,"7,526"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,57,01,Modification of Aircraft,0564,E-6 Series,A,Weapon System Cost,,"157,293",,"126,772",,"163,737",,,,"163,737"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,58,01,Modification of Aircraft,0566,Executive Helicopters Series,A,Weapon System Cost,,"60,498",,"69,495",,"66,645",,,,"66,645"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,60,01,Modification of Aircraft,0569,T-45 Series,A,Weapon System Cost,,"162,133",,"149,096",,"173,433",,,,"173,433"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,61,01,Modification of Aircraft,0570,Power Plant Changes,A,Weapon System Cost,,"25,049",,"16,806",,"18,707",,,,"18,707"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,62,01,Modification of Aircraft,0571,JPATS Series,A,Weapon System Cost,,"28,005",,"24,157",,"21,330",,,,"21,330"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,63,01,Modification of Aircraft,0575,Aviation Life Support Mods,A,Weapon System Cost,,,,"3,964",,,,,,
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,64,01,Modification of Aircraft,0576,Common ECM Equipment,A,Weapon System Cost,,"60,363",,"49,354",,"91,553",,,,"91,553"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,65,01,Modification of Aircraft,0577,Common Avionics Changes,A,Weapon System Cost,,"136,149",,"139,113",,"161,376",,,,"161,376"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,66,01,Modification of Aircraft,0581,Common Defensive Weapon System,A,Weapon System Cost,,"13,531",,"10,687",,"8,926",,,,"8,926"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,67,01,Modification of Aircraft,0582,ID Systems,A,Weapon System Cost,,"12,676",,"7,020",,"3,011",,,,"3,011"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,68,01,Modification of Aircraft,0586,P-8 Series,A,Weapon System Cost,,"316,116",,"303,479",,"320,130",,,,"320,130"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,69,01,Modification of Aircraft,0587,MAGTF EW for Aviation,A,Weapon System Cost,,"24,901",,"25,597",,"22,356",,,,"22,356"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,70,01,Modification of Aircraft,0588,MQ-8 Series,A,Weapon System Cost,,"4,514",,,,,,,,
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,71,01,Modification of Aircraft,0590,V-22 (Tilt/Rotor  ACFT) Osprey,A,Weapon System Cost,,"219,649",,"265,062",,"319,145",,,,"319,145"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,72,01,Modification of Aircraft,0591,Next Generation Jammer (NGJ),A,Weapon System Cost,,"418,852",,"444,761",,"439,493",,,,"439,493"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,73,01,Modification of Aircraft,0592,F-35 STOVL Series,A,Weapon System Cost,,"259,412",,"229,843",,"364,774",,,,"364,774"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,74,01,Modification of Aircraft,0593,F-35 CV Series,A,Weapon System Cost,,"124,990",,"154,235",,"180,533",,,,"180,533"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,75,01,Modification of Aircraft,0595,QRC,A,Weapon System Cost,,"28,206",,"26,957",,"24,893",,,,"24,893"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,76,01,Modification of Aircraft,0596,MQ-4 Series,A,Weapon System Cost,,"67,284",,"79,954",,"180,463",,,,"180,463"
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,81,01,Modification of Aircraft,5S61,DON Other 6 (TTNT),A,Weapon System Cost,,"47,785",,,,,,,,
1506N,"Aircraft Procurement, Navy",N,06,Aircraft spares and repair parts,84,01,Aircraft Spares and Repair Parts,0605,Spares and Repair Parts,A,Weapon System Cost,,"2,622,223",,"2,125,592",,"2,562,627",,,,"2,562,627"
1506N,"Aircraft Procurement, Navy",N,07,Aircraft support equipment and facilities,85,01,Aircraft Support Equip & Facilities,0705,Common Ground Equipment,A,Weapon System Cost,,"562,487",,"572,806",,"584,561",,,,"584,561"
1506N,"Aircraft Procurement, Navy",N,07,Aircraft support equipment and facilities,86,01,Aircraft Support Equip & Facilities,0715,Aircraft Industrial Facilities,A,Weapon System Cost,,"137,815",,"105,634",,"112,513",,,,"112,513"
1506N,"Aircraft Procurement, Navy",N,07,Aircraft support equipment and facilities,87,01,Aircraft Support Equip & Facilities,0720,War Consumables,A,Weapon System Cost,,"44,574",,"43,604",,"45,153",,,,"45,153"
1506N,"Aircraft Procurement, Navy",N,07,Aircraft support equipment and facilities,88,01,Aircraft Support Equip & Facilities,0725,Other Production Charges,A,Weapon System Cost,,"46,607",,"73,307",,"70,770",,,,"70,770"
1506N,"Aircraft Procurement, Navy",N,07,Aircraft support equipment and facilities,89,01,Aircraft Support Equip & Facilities,0735,Special Support Equipment,A,Weapon System Cost,,"384,850",,"400,753",,"130,993",,,,"130,993"
1506N,"Aircraft Procurement, Navy",N,07,Aircraft support equipment and facilities,91,01,Aircraft Support Equip & Facilities,0790,Cancelled Account Adjustments,A,Weapon System Cost,,169,,,,,,,,
1507N,"Weapons Procurement, Navy",N,01,Ballistic missiles,2,02,Modification of Missiles,1250,Trident II Mods,A,Weapon System Cost,,"1,284,705",,"1,793,867",,"2,582,029",,"62,000",,"2,644,029"
1507N,"Weapons Procurement, Navy",N,01,Ballistic missiles,3,03,Support Equipment & Facilities,1350,Missile Industrial Facilities,A,Weapon System Cost,,"7,954",,"8,133",,,,,,
1507N,"Weapons Procurement, Navy",N,02,Other missiles,6,01,Strategic Missiles,2101,Tomahawk,A,Weapon System Cost,,"77,904",,"32,677",,"12,593",57,"193,977",57,"206,570"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,7,02,Tactical Missiles,2206,AMRAAM,A,Weapon System Cost,300,"385,678",181,"191,493",51,"69,913",,,51,"69,913"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,8,02,Tactical Missiles,2209,Sidewinder,A,Weapon System Cost,403,"197,650",157,"86,023",146,"84,713",,,146,"84,713"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,9,02,Tactical Missiles,2210,Joint Advance Tactical Missile (JATM),A,Weapon System Cost,,,,,,"301,858",,,,"301,858"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,10,02,Tactical Missiles,2234,Standard Missile,A,Weapon System Cost,97,"939,327",78,"642,507",10,"295,323",129,"630,000",139,"925,323"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,10,02,Tactical Missiles,2234,Standard Missile,B,Less: Advance Procurement (PY),,,,"-117,547",,"-107,903",,,,"-107,903"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,11,02,Tactical Missiles,2234,Standard Missile,C,Advance Procurement (CY),,"117,620",,"107,830",,,,,,
1507N,"Weapons Procurement, Navy",N,02,Other missiles,12,02,Tactical Missiles,2238,Small Diameter Bomb II,A,Weapon System Cost,232,"63,035",280,"76,108",273,"86,255",,,273,"86,255"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,13,02,Tactical Missiles,2242,Ram,A,Weapon System Cost,180,"165,221",148,"141,021",123,"122,372",,,123,"122,372"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,14,02,Tactical Missiles,2247,MSE Missile,A,Weapon System Cost,,,,,,,12,"47,000",12,"47,000"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,15,02,Tactical Missiles,2248,Joint Air Ground Missile (JAGM),A,Weapon System Cost,263,"73,924",182,"55,315",277,"74,152",,,277,"74,152"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,16,02,Tactical Missiles,2254,Hellfire,A,Weapon System Cost,40,"6,923",,,,,,,,
1507N,"Weapons Procurement, Navy",N,02,Other missiles,17,02,Tactical Missiles,2280,Aerial Targets,A,Weapon System Cost,,"174,725",,"180,233",,"182,704",,,,"182,704"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,19,02,Tactical Missiles,2290,Other Missile Support,A,Weapon System Cost,,"3,687",,"3,411",,"3,490",,,,"3,490"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,20,02,Tactical Missiles,2291,LRASM,A,Weapon System Cost,91,"599,636",90,"326,435",56,"243,217",64,"288,225",120,"531,442"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,21,02,Tactical Missiles,2292,Naval Strike Missile (NSM),A,Weapon System Cost,13,"25,551",12,"28,719",16,"36,075",,,16,"36,075"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,21,02,Tactical Missiles,2292,Naval Strike Missile (NSM),B,Less: Advance Procurement (PY),,,,"-3,837",,"-3,837",,,,"-3,837"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,22,02,Tactical Missiles,2292,Naval Strike Missile (NSM),C,Advance Procurement (CY),,"5,755",,"4,412",,"3,059",,,,"3,059"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,25,03,Modification of Missiles,2301,Tomahawk Mods,A,Weapon System Cost,,"494,799",,"296,839",,"6,283",,"473,848",,"480,131"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,26,03,Modification of Missiles,2307,ESSM,A,Weapon System Cost,164,"296,829",350,"622,551",305,"503,381",,,305,"503,381"
1507N,"Weapons Procurement, Navy",N,02,Other missiles,28,03,Modification of Missiles,2327,AARGM-ER,A,Weapon System Cost,86,"167,429",157,"226,486",147,"295,645",,,147,"295,645"
